Date,TargetDate,Close,target_log_ret,target_simple_ret,pred_log_ret,ridge_position,turnover,transaction_cost,strategy_return,buy_hold_return,strategy_equity,buy_hold_equity,strategy_drawdown,buy_hold_drawdown,macd_line,macd_signal,macd_histogram,macd_position,actual_up,ridge_forecast_up,macd_forecast_up,macd_score
2022-10-03,2022-10-04,1086.44,-0.0076689618114684,-0.0076396303523433,-0.0095886443495564,0.0,0.0,0.0,-0.0,-0.0076396303523433,1.0,0.9923603696476566,0.0,0.0,-34.27732971789487,-20.750271506301555,-13.527058211593316,0.0,False,False,False,-0.012450810179663225
2022-10-04,2022-10-05,1078.14,0.0239380931895212,0.0242269093067688,-0.0042292197546943,0.0,0.0,0.0,0.0,0.0242269093067688,1.0,1.016402194322742,0.0,0.0,-38.7599032807932,-24.352197861199883,-14.407705419593311,0.0,True,False,False,-0.013363482868266932
2022-10-05,2022-10-06,1104.26,-0.0273013771380838,-0.0269320631010813,0.0034042851661021,1.0,1.0,0.0005,-0.0274320631010813,-0.0269320631010813,0.9725679368989186,0.9890283862891645,-0.0274320631010813,-0.0269320631010813,-39.74653609182997,-27.431065507325904,-12.315470584504062,0.0,False,True,False,-0.011152691018876046
2022-10-06,2022-10-07,1074.52,-0.036593782758941,-0.0359323232699251,-0.0075903145397029,0.0,1.0,0.0005,-0.0005,-0.0359323232699251,0.9720816529304692,0.9534902985898897,-0.0279183470695307,-0.0618966547733323,-42.43900868062724,-30.432654141986173,-12.006354538641066,0.0,False,False,False,-0.01117369107940389
2022-10-07,2022-10-10,1035.91,0.0063222223777366,0.0063422498093463,-0.0095210464733288,0.0,0.0,0.0,0.0,0.0063422498093463,0.9720816529304692,0.959537572254335,-0.0279183470695307,-0.0559469690109213,-47.14486032506216,-33.77509537860137,-13.369764946460784,0.0,True,False,False,-0.012906299723393714
2022-10-10,2022-10-11,1042.48,-0.0354216307794317,-0.0348016268897244,0.003077809142366,1.0,1.0,0.0005,-0.0353016268897244,-0.0348016268897244,0.9377655891123712,0.9261441036780677,-0.0622344108876287,-0.0888015503595167,-49.77041519947625,-36.974159342776346,-12.7962558566999,0.0,False,True,False,-0.012274821441850109
2022-10-11,2022-10-12,1006.2,0.0280369759110934,0.0284337109918504,-0.0053130522430212,0.0,1.0,0.0005,-0.0005,0.0284337109918504,0.9372967063178153,0.9524778174588562,-0.0627032936821848,-0.062892796986217,-54.15442069710002,-40.41021161364108,-13.74420908345894,0.0,True,False,False,-0.013659520059092566
2022-10-12,2022-10-13,1034.81,0.0155147421155144,0.0156357205670607,0.0046633947961104,1.0,1.0,0.0005,0.0151357205670607,0.0156357205670607,0.951483367353068,0.9673704944589668,-0.0485166326469319,-0.0482404506185136,-54.68975924142546,-43.26612113919796,-11.4236381022275,0.0,True,True,False,-0.011039358048557223
2022-10-13,2022-10-14,1050.99,0.0102800928044812,0.0103331144920502,0.0014439460267412,1.0,0.0,0.0,0.0103331144920502,0.0103331144920502,0.9613151539252088,0.9773664445344424,-0.0386848460747912,-0.0384058102258526,-53.195226656592695,-45.25194224267691,-7.943284413915784,0.0,True,True,False,-0.007557906748794739
2022-10-14,2022-10-17,1061.85,-0.0097188748517034,-0.0096717992183453,-0.0006296620711678,0.0,1.0,0.0005,-0.0005,-0.0096717992183453,0.960834496348246,0.9679135525201572,-0.0391655036517538,-0.0477061561588757,-50.55175837324418,-46.31190546879037,-4.239852904453812,0.0,False,False,False,-0.003992892503134918
2022-10-17,2022-10-18,1051.58,0.0114219959261854,0.0114874759885126,-0.0046670148794403,0.0,0.0,0.0,0.0,0.0114874759885126,0.960834496348246,0.9790324362136884,-0.0391655036517538,-0.0367667034937424,-48.72383583360352,-46.794291541753005,-1.929544291850512,0.0,True,False,False,-0.0018349001425003442
2022-10-18,2022-10-19,1063.66,-0.0033808473012229,-0.0033751386721322,0.0034214292780072,1.0,1.0,0.0005,-0.0038751386721322,-0.0033751386721322,0.9571111294339284,0.9757280659769518,-0.0428888705660716,-0.0400177494430661,-45.77279867766174,-46.58999296893475,0.8171942912730117,1.0,False,True,True,0.0007682852521228697
2022-10-19,2022-10-20,1060.07,-0.0015293698579776,-0.0015282009678605,0.0003278534440007,0.0,1.0,0.0005,-0.0005,-0.0015282009678605,0.9566325738692116,0.9742369574021572,-0.0433674261307884,-0.0414847952474962,-43.22548696086778,-45.91709176732137,2.691604806453583,1.0,False,True,True,0.002539082142173237
2022-10-20,2022-10-21,1058.45,-0.0371794326862744,-0.0364967641362369,-0.0014098944285067,0.0,0.0,0.0,-0.0,-0.0364967641362369,0.9566325738692116,0.9386804609550454,-0.0433674261307884,-0.0764674985963452,-40.86636254502241,-44.90694592286158,4.0405833778391695,1.0,False,False,True,0.0038174532361842026
2022-10-21,2022-10-24,1019.82,-0.0335729472678023,-0.0330156302092526,-0.0057085267724886,0.0,0.0,0.0,-0.0,-0.0330156302092526,0.9566325738692116,0.9076893339715028,-0.0433674261307884,-0.1069585061489144,-41.63392760331999,-44.25234225895326,2.618414655633273,1.0,False,False,True,0.002567526284671092
2022-10-24,2022-10-25,986.15,0.0116441570699494,0.011712214166202,-0.0026824004014889,0.0,0.0,0.0,0.0,0.011712214166202,0.9566325738692116,0.9183203858473544,-0.0433674261307884,-0.0964990129136255,-44.44676145123617,-44.29122609740985,-0.1555353538263233,0.0,True,False,False,-0.0001577197726779124
2022-10-25,2022-10-26,997.7,-0.0043594938108748,-0.0043500050115264,0.0030373089037746,1.0,1.0,0.0005,-0.0048500050115264,-0.0043500050115264,0.9519929010917564,0.9143256875667314,-0.0480070989082437,-0.1004292467353703,-45.22266533263746,-44.477513944455374,-0.7451513881820873,0.0,False,True,False,-0.0007468691873129069
2022-10-26,2022-10-27,993.36,0.0342870374856696,0.0348816139164049,-0.004271239345985,0.0,1.0,0.0005,-0.0005,0.0348816139164049,0.9515169046412104,0.9462188431942856,-0.0484830953587895,-0.0690507670295039,-45.66142005074266,-44.714295165712834,-0.9471248850298296,0.0,True,False,False,-0.0009534558317526674
2022-10-27,2022-10-28,1028.01,-0.0006324895485185,-0.0006322895691677,0.007293051483795,1.0,1.0,0.0005,-0.0011322895691677,-0.0006322895691677,0.9504395119751984,0.945620558889584,-0.0495604880248015,-0.0696393965189359,-42.720713119904985,-44.31557875655126,1.5948656366462757,1.0,False,True,True,0.0015514106250389351
2022-10-28,2022-10-31,1027.36,0.0005643945072701,0.0005645538078182,-0.0042611502743789,0.0,1.0,0.0005,-0.0005,0.0005645538078182,0.949964292219211,0.9461544125768564,-0.050035707780789,-0.0691141578975965,-39.98174657158597,-43.4488123195582,3.467065747972228,1.0,True,False,True,0.0033747330516783096
2022-10-31,2022-11-01,1027.94,0.0056361677848926,0.0056520808607505,-0.0003525665950245,0.0,0.0,0.0,0.0,0.0056520808607505,0.949964292219211,0.9515021538234966,-0.050035707780789,-0.063852715845906,-37.33393236339748,-42.22583632832605,4.891903964928574,1.0,True,False,True,0.004758939203580533
2022-11-01,2022-11-02,1033.75,-0.0102677693813859,-0.0102152357920193,0.0032649614883921,1.0,1.0,0.0005,-0.0107152357920193,-0.0102152357920193,0.9397852008340836,0.9417823349655752,-0.0602147991659165,-0.0734156810895986,-34.370500349991744,-40.65476913265919,6.284268782667446,1.0,False,True,True,0.006079099185168025
2022-11-02,2022-11-03,1023.19,-0.0033088625392529,-0.0033033942864962,-0.0010571127247839,0.0,1.0,0.0005,-0.0005,-0.0033033942864962,0.9393153082336664,0.9386712565811268,-0.0606846917663335,-0.0764765544346443,-32.49942968022947,-39.023701242173246,6.524271561943777,1.0,False,False,True,0.006376402781442134
2022-11-03,2022-11-04,1019.81,-0.0224704044180317,-0.0222198252615682,-0.0013759083847277,0.0,0.0,0.0,-0.0,-0.0222198252615682,0.9393153082336664,0.9178141452818376,-0.0606846917663335,-0.096997084020068,-30.93275687992877,-37.40551236972436,6.472755489795581,1.0,False,False,True,0.006347021003712046
2022-11-04,2022-11-07,997.15,-0.0222688861915525,-0.0220227648799076,-0.00290279412462,0.0,0.0,0.0,-0.0,-0.0220227648799076,0.9393153082336664,0.8976013401568422,-0.0606846917663335,-0.1168837049245649,-31.160431957984656,-36.15649628737642,4.996064329391764,1.0,False,False,True,0.005010343809248121
2022-11-07,2022-11-08,975.19,0.0066025055370806,0.0066243501266418,-0.0018793105657824,0.0,0.0,0.0,0.0,0.0066243501266418,0.9393153082336664,0.9035473657081842,-0.0606846917663335,-0.1110336333834424,-32.735500102239484,-35.472297050349034,2.73679694810955,1.0,True,False,True,0.002806424335882802
2022-11-08,2022-11-09,981.65,0.0040056172791285,0.0040136504864258,0.0049654629347768,1.0,1.0,0.0005,0.0035136504864258,0.0040136504864258,0.9426157339233492,0.9071738890320676,-0.0573842660766509,-0.1074656330936556,-33.081146083040494,-34.99406685688733,1.9129207738468352,1.0,True,True,True,0.0019486790341229922
2022-11-09,2022-11-10,985.59,-0.0396879536560659,-0.0389107032335961,-0.0006535700512114,0.0,1.0,0.0005,-0.0005,-0.0389107032335961,0.9421444260563876,0.8718751150546736,-0.0578555739436125,-0.1421947729701339,-32.6606562265963,-34.52738473082913,1.8667285042328243,1.0,False,False,True,0.0018940213519139037
2022-11-10,2022-11-11,947.24,0.0076665797721657,0.007696043241417,-0.0101816673666647,0.0,0.0,0.0,0.0,0.007696043241417,0.9421444260563876,0.8785851036412499,-0.0578555739436125,-0.1355930668501985,-35.01827065557484,-34.62556191577827,-0.3927087397965678,0.0,True,False,False,-0.0004145820909131453
2022-11-11,2022-11-14,954.53,-0.0142334260878005,-0.0141326097660628,-0.0009655417596366,0.0,0.0,0.0,-0.0,-0.0141326097660628,0.9421444260563876,0.8661684032252122,-0.0578555739436125,-0.1478093927154838,-35.88479739445461,-34.877409011513535,-1.0073883829410732,0.0,False,False,False,-0.0010553763453648112
2022-11-14,2022-11-15,941.04,-0.0314553117125662,-0.0309657400323046,-0.0043883373563513,0.0,0.0,0.0,-0.0,-0.0309657400323046,0.9421444260563876,0.8393468576267438,-0.0578555739436125,-0.1741981055186281,-37.2308819061758,-35.34810359044599,-1.8827783157298088,0.0,False,False,False,-0.002000742068062791
2022-11-15,2022-11-16,911.9,0.0334298975320113,0.0339949555872354,-0.0067748517658973,0.0,0.0,0.0,0.0,0.0339949555872354,0.9421444260563876,0.8678804167740506,-0.0578555739436125,-0.146125006791879,-40.18578137369309,-36.31563914709541,-3.870142226597679,0.0,True,False,False,-0.0042440423583700836
2022-11-16,2022-11-17,942.9,0.0275726612817948,0.0279563050164386,0.01323800812909,1.0,1.0,0.0005,0.0274563050164386,0.0279563050164386,0.9680122307877292,0.8921431464231798,-0.0319877692122707,-0.1222538170358432,-39.569981453671744,-36.96650760841068,-2.603473845261064,0.0,True,True,False,-0.0027611346327935772
2022-11-17,2022-11-18,969.26,7.221743641583345e-05,7.222004415741168e-05,0.0060940554293493,1.0,0.0,0.0,7.222004415741168e-05,7.222004415741168e-05,0.9680821406737816,0.8922075770406093,-0.0319178593262183,-0.1221904261677505,-36.533785146490686,-36.87996311602669,0.3461779695360008,1.0,True,True,True,0.0003571569749458358
