model,rmse_log_return,mae_log_return,accuracy,balanced_accuracy,precision_up,recall_up,specificity_down,f1_up,mcc,hit_rate_on_predicted_up,hit_rate_on_predicted_down,mean_next_return_when_pred_up,mean_next_return_when_pred_down,return_spread_up_minus_down,forecast_up_frequency,score_corr_with_next_return,tp,tn,fp,fn
Ridge Linear Regression,0.01229964479617493,0.00843985170779331,0.5407725321888412,0.5421270621270622,0.6052060737527115,0.5314285714285715,0.5528255528255528,0.565922920892495,0.08358091262305525,0.6052060737527115,0.47770700636942676,0.0017250419350392568,-0.0003946189698985019,0.0021196609049377586,0.4946351931330472,0.08075760027334675,279.0,225.0,182.0,246.0
MACD 12/26/9,,,0.5236051502145923,0.5186053586053586,0.5801980198019802,0.5580952380952381,0.47911547911547914,0.5689320388349514,0.0370412190004039,0.5801980198019802,0.4566744730679157,0.000981102308455882,0.00026679656079785094,0.0007143057476580309,0.5418454935622318,-0.013293674328705379,293.0,195.0,212.0,232.0
Ridge minus MACD,,,0.01716738197424894,0.023521703521703574,0.025008053950731357,-0.026666666666666616,0.07371007371007365,-0.0030091179424563963,0.046539693622651354,0.025008053950731357,0.02103253330151106,0.0007439396265833749,-0.0006614155306963528,0.0014053551572797277,-0.04721030042918456,0.09405127460205212,-14.0,30.0,-30.0,14.0
