year,strategy,total_return,cagr,annual_volatility,sharpe,sortino,max_drawdown,calmar,daily_var_95,daily_cvar_95,profit_factor,win_rate_active_days,exposure,avg_daily_turnover,number_of_trades,beta_vs_buy_hold,annual_alpha_vs_buy_hold,information_ratio,tail_ratio_95_5,daily_skew,daily_kurtosis,benchmark_total_return,benchmark_cagr
2006,MACD 12/26/9,2.0114945072342114,2.051761108711435,0.2394832670291575,4.788192870236699,5.87596058908656,-0.10673138594920228,19.223596606231176,-0.017130400813603706,-0.030676384599262252,2.8264564647818364,0.6375838926174496,0.5823293172690763,0.040160642570281124,10.0,0.5635399610100646,0.6067391059902106,0.8923668607464001,2.0138571561714764,0.2103714379119336,1.647050833164144,1.4447804878048744,1.471254422567946
2006,Ridge Linear Regression,1.7007455895958223,1.7332683600224406,0.23636969985333386,4.379592706026086,6.748922239606341,-0.1446718740186156,11.980686444964507,-0.016609427112297015,-0.02874755784018667,2.6063742065228657,0.47,0.5783132530120482,0.4497991967871486,112.0,0.5454037315933797,0.5126271842259053,0.3557913298953171,2.2197705123036355,0.5032608640676524,1.7579378887516572,1.4447804878048744,1.471254422567946
2006,Ridge minus MACD,-0.3107489176383891,-0.31849274868899435,-0.003113567175823645,-0.40860016421061296,0.8729616505197813,-0.0379404880694133,-7.2429101612666695,0.0005209737013066908,0.0019288267590755817,-0.22008225825897076,-0.16758389261744966,-0.004016064257028162,0.40963855421686746,102.0,-0.018136229416684913,-0.09411192176430538,-0.5365755308510831,0.2059133561321591,0.2928894261557188,0.11088705558751322,0.0,0.0
2007,MACD 12/26/9,0.35988776259969457,0.3659977542830535,0.1544742641467023,2.099907234534101,2.605083120786838,-0.12656752911785873,2.891719201867638,-0.014000379861879996,-0.019547104440327704,1.7624470697296684,0.56,0.38306451612903225,0.04435483870967742,11.0,0.3242271549740475,0.24332673862129459,0.33220637901185385,1.4994576349355957,1.199689259918197,4.722587670241394,0.23311651169905923,0.23689050709948534
2007,Ridge Linear Regression,0.9867508779468279,1.0067410669669887,0.19995551281209167,3.5924613693129124,5.89409420796233,-0.0955679798343192,10.534292643962118,-0.014467908640775939,-0.022033195268359878,2.2757394897086276,0.423728813559322,0.5201612903225806,0.3911290322580645,97.0,0.5638667669875757,0.5773690723277475,2.666780922099278,2.2720818887577505,0.8944181866271481,2.0761964122305416,0.23311651169905923,0.23689050709948534
2007,Ridge minus MACD,0.6268631153471333,0.6407433126839353,0.045481248665389384,1.4925541347788114,3.289011087175492,0.03099954928353954,7.642573442094481,-0.0004675287788959426,-0.002486090828032174,0.5132924199789592,-0.13627118644067804,0.13709677419354838,0.34677419354838707,86.0,0.23963961201352812,0.33404233370645287,2.3345745430874243,0.7726242538221548,-0.30527107329104886,-2.646391258010852,0.0,0.0
2008,MACD 12/26/9,-0.1777860849500854,-0.17833861975620702,0.22400029055444673,-0.786148878481497,-0.8978289831474593,-0.3262414297403925,-0.5466461445381736,-0.026818339873925123,-0.03576013597898091,0.8420167195326043,0.464,0.4816326530612245,0.0653061224489796,16.0,0.36494044554837335,0.20247514286193935,2.9115437776715147,0.9288534988455931,-0.22525934812503245,2.0015068195188426,-0.6595542706737718,-0.6608116617578154
2008,Ridge Linear Regression,0.5777770779691345,0.5802498002749925,0.1909277298475824,2.5537524427672884,3.0550028750345017,-0.14394602250856425,4.03102350563712,-0.019550177100151445,-0.026073223894605688,1.9151006030620583,0.44029850746268656,0.3673469387755102,0.363265306122449,89.0,0.29165513229116125,0.7901320056451456,4.9809417978084305,1.3036963199224563,0.6912687065534632,3.684132801957818,-0.6595542706737718,-0.6608116617578154
2008,Ridge minus MACD,0.7555631629192199,0.7585884200311995,-0.03307256070686432,3.339901321248785,3.952831858181961,0.18229540723182824,4.577669650175293,0.007268162773773679,0.009686912084375221,1.073083883529454,-0.023701492537313462,-0.11428571428571427,0.2979591836734694,73.0,-0.0732853132572121,0.5876568627832063,2.0693980201369158,0.3748428210768632,0.9165280546784956,1.6826259824389753,0.0,0.0
2009,MACD 12/26/9,0.9325680553324263,0.9376475154314838,0.23589823129127735,2.924786192957896,4.028544673770076,-0.10127592706390043,9.258345419438832,-0.019833430314966483,-0.028813431775565407,1.9112715331671768,0.5507246376811594,0.5219123505976095,0.055776892430278883,14.0,0.47370078683619504,0.4477170063260745,0.7151291531601974,1.6934646633247967,0.5593058124638961,1.774547496897131,0.5678073510773147,0.5706186676501226
