Date,TargetDate,Close,target_log_ret,target_simple_ret,pred_log_ret,position,turnover,transaction_cost,strategy_return,buy_hold_return,strategy_equity,buy_hold_equity,strategy_drawdown,buy_hold_drawdown,year,strategy_name,Open,High,Low,Volume,SourceLine,macd_line,macd_signal
2007-12-28,2008-01-02,927.02,-0.006439102595921398,-0.0064184159996547585,0.001643292437547027,1.0,1.0,0.0005,-0.006918415999654759,-0.0064184159996547585,0.9930815840003453,0.9935815840003452,0.0,0.0,2008,Ridge Linear Regression,,,,,,,
2008-01-02,2008-01-03,921.07,-0.014016366608917252,-0.013918594677928997,-0.0023806473341218227,0.0,1.0,0.0005,-0.0005,-0.013918594677928997,0.9925850432083452,0.9797523246531897,-0.0004999999999999449,-0.013918594677928997,2008,Ridge Linear Regression,,,,,,,
2008-01-03,2008-01-04,908.25,-0.005697454876742114,-0.005681255161023913,-0.001588297469618723,0.0,0.0,0.0,-0.0,-0.005681255161023913,0.9925850432083452,0.9741861017022286,-0.0004999999999999449,-0.019520774751104808,2008,Ridge Linear Regression,,,,,,,
2008-01-04,2008-01-07,903.09,-0.017887046324740474,-0.017728022677695465,0.0008810179526529693,1.0,1.0,0.0005,-0.018228022677695466,-0.017728022677695465,0.9744921805312022,0.9569157083989558,-0.018718908666356504,-0.03690273269132649,2008,Ridge Linear Regression,,,,,,,
2008-01-07,2008-01-08,887.08,0.007479735234604767,0.007507778328899262,-0.0026126026451442764,0.0,1.0,0.0005,-0.0005,0.007507778328899262,0.9740049344409367,0.9641000194170568,-0.019209549212023225,-0.02967201189920421,2008,Ridge Linear Regression,,,,,,,
2008-01-08,2008-01-09,893.74,-0.01730145010881312,-0.017152639470092046,-0.0006400785927701539,0.0,0.0,0.0,-0.0,-0.017152639470092046,0.9740049344409367,0.9475631593708873,-0.019209549212023225,-0.046315698046836884,2008,Ridge Linear Regression,,,,,,,
2008-01-09,2008-01-10,878.41,-0.03279475599089832,-0.03226283853781253,-0.0044025385930075295,0.0,0.0,0.0,-0.0,-0.03226283853781253,0.9740049344409367,0.9169920821557248,-0.019209549212023225,-0.0770842606967983,2008,Ridge Linear Regression,,,,,,,
2008-01-10,2008-01-11,850.07,0.012508638464361788,0.01258719870128333,-0.00877826463008901,0.0,0.0,0.0,0.0,0.01258719870128333,0.9740049344409367,0.9285344437013224,-0.019209549212023225,-0.06546733690164708,2008,Ridge Linear Regression,,,,,,,
2008-01-11,2008-01-14,860.77,-0.023235677526135312,-0.022967807892933068,-0.0019421307918737942,0.0,0.0,0.0,-0.0,-0.022967807892933068,0.9740049344409367,0.907208042976419,-0.019209549212023225,-0.08693150357736124,2008,Ridge Linear Regression,,,,,,,
2008-01-14,2008-01-15,841.0,-0.03900290096644721,-0.03825208085612364,-0.006223598587236823,0.0,0.0,0.0,-0.0,-0.03825208085612364,0.9740049344409367,0.8725054475631593,-0.019209549212023225,-0.12185827352969925,2008,Ridge Linear Regression,,,,,,,
