year,rows,train_rows_before_year,start,end,annualized_volatility,buy_hold_return,buy_hold_max_drawdown,worst_daily_return,best_daily_return
2008,245,1600,2008-01-02,2008-12-31,0.3696977846883889,-0.6595542706737718,-0.6885144451561771,-0.04688429577599951,0.047510497900419724
2009,251,1845,2009-01-02,2009-12-31,0.345112961174159,0.5678073510773147,-0.30315654542541226,-0.04549536067045812,0.0476289951953206
2006,249,1103,2006-01-03,2006-12-29,0.3220309194210476,1.4447804878048744,-0.36810494705231556,-0.048415186346220995,0.04781235904375292
2007,248,1352,2007-01-02,2007-12-28,0.27239132399647487,0.23311651169905923,-0.24496228655385344,-0.043699123145547136,0.042252480960073946
2022,249,5090,2022-01-04,2022-12-30,0.24775285724036542,-0.3278359185199029,-0.40342934899939187,-0.04952763498473778,0.04810785443064969
2020,252,4588,2020-01-02,2020-12-31,0.22745962440125345,0.148680007076037,-0.3351118552437814,-0.06276361841514855,0.04980051296665722
