model,selected_params,cost_bps,total_return,cagr,annual_volatility,sharpe,sortino,max_drawdown,calmar,daily_var_95,daily_cvar_95,profit_factor,win_rate_active_days,exposure,avg_daily_turnover,number_of_trades,beta_vs_buy_hold,annual_alpha_vs_buy_hold,information_ratio,tail_ratio_95_5,daily_skew,daily_kurtosis,benchmark_total_return,benchmark_cagr
Ridge,"{""alpha"": 500.0}",5.0,0.5859819934247723,0.13124599490321054,0.10430600274363357,1.2481227450256007,1.2763136649626101,-0.09058362029406208,1.4488932378408588,-0.008041456658395021,-0.016181820740875708,1.4002748101361573,0.39347079037800686,0.40987124463519314,0.4302575107296137,401.0,0.2954280847743741,0.0815097009434847,-0.21442150291998868,1.3191131117602841,-0.5728077259729355,14.383919617047134,0.7169562976326362,0.15550401499722777
BayesianRidge,{},5.0,0.5817103659938021,0.13043050117725863,0.10430469519527431,1.241142129899529,1.270588457318255,-0.09058362029406208,1.4398905757336857,-0.008041456658395021,-0.016181820740875708,1.3978657469365623,0.3917525773195876,0.40879828326180256,0.43240343347639487,403.0,0.295408491458223,0.08078318637444411,-0.21894138613328581,1.3191131117602841,-0.5715176302204211,14.38377846025524,0.7169562976326362,0.15550401499722777
ElasticNet,"{""alpha"": 0.001, ""l1_ratio"": 0.75}",5.0,0.5793626142231603,0.1299816060632213,0.11228897398032545,1.1568988821488777,1.3335113261304097,-0.13064599273226074,0.9949146035393446,-0.009111420260152677,-0.0169020005017428,1.3348998703012682,0.39233038348082594,0.49356223175965663,0.4688841201716738,437.0,0.3422257329843481,0.07351925607423614,-0.22369196402101904,1.1900126725788398,-0.0305430344021001,12.269762944168836,0.7169562976326362,0.15550401499722777
LinearRegression,{},5.0,0.3801597271975501,0.08997170360202622,0.10685788368144158,0.8689445588129673,0.8419533079912126,-0.13198826187621238,0.6816644322993498,-0.007491051333736417,-0.016956258682050404,1.2866661530605392,0.38721804511278196,0.37553648068669526,0.3916309012875536,365.0,0.30932643748316013,0.041886584047102104,-0.45013636662581863,1.3823808897955314,-0.4167107378925244,16.1351823509014,0.7169562976326362,0.15550401499722777
Huber,"{""epsilon"": 1.15, ""alpha"": 0.0001}",5.0,0.3879254746439955,0.09160820174479078,0.12914200358239564,0.7511031673172055,0.847499399129165,-0.15404086875724,0.5947006303188299,-0.01152452633878739,-0.020910461155812472,1.1942381418697987,0.41899441340782123,0.5633047210300429,0.41094420600858367,383.0,0.45162110798607485,0.022586415829643464,-0.47580711010562365,1.0204253029065617,-0.203321900002095,9.18562330174013,0.7169562976326362,0.15550401499722777
Lasso,"{""alpha"": 0.005}",5.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,-0.8574828994260584,,0.0,0.0,0.7169562976326362,0.15550401499722777
