feature
ret_1
simple_ret_1
hl_range
oc_return
upper_shadow
lower_shadow
volume_log
volume_chg_1
ret_lag_2
ret_mean_2
ret_std_2
momentum_2
close_sma_gap_2
range_mean_2
volume_z_2
ret_lag_3
ret_mean_3
ret_std_3
momentum_3
close_sma_gap_3
range_mean_3
volume_z_3
ret_lag_5
ret_mean_5
ret_std_5
momentum_5
close_sma_gap_5
range_mean_5
volume_z_5
ret_lag_10
ret_mean_10
ret_std_10
momentum_10
close_sma_gap_10
range_mean_10
volume_z_10
ret_lag_14
ret_mean_14
ret_std_14
momentum_14
close_sma_gap_14
range_mean_14
volume_z_14
ret_lag_20
ret_mean_20
ret_std_20
momentum_20
close_sma_gap_20
range_mean_20
volume_z_20
ret_lag_30
ret_mean_30
ret_std_30
momentum_30
close_sma_gap_30
range_mean_30
volume_z_30
ret_lag_60
ret_mean_60
ret_std_60
momentum_60
close_sma_gap_60
range_mean_60
volume_z_60
rsi_14
rsi_28
ema_gap_12
ema_gap_26
macd_gap
rolling_drawdown_60
